"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
"9","KC","","GB",13,7,237,0,301,2
"9","TEN","@","LA",28,16,194,1,347,2
"9","PIT","","CHI",29,27,280,1,414,2
"10","MIA","","BAL",22,10,350,0,304,2
"10","DAL","","ATL",43,3,431,1,214,3
"10","BUF","@","NYJ",45,17,489,2,366,5
"10","PIT","","DET",16,16,387,3,306,0
"10","TEN","","NO",23,21,264,0,373,1
"10","WAS","","TB",29,19,320,1,273,2
"10","NE","","CLE",45,7,452,0,217,1
"10","IND","","JAX",23,17,295,0,331,1
"10","MIN","@","LAC",27,20,381,1,253,1
"10","CAR","@","ARI",34,10,341,2,169,2
"10","PHI","@","DEN",30,13,386,1,308,1
"10","GB","","SEA",17,0,393,1,208,2
"10","KC","@","LV",41,14,516,1,299,2
"10","SF","","LA",31,10,335,0,278,2
"11","NE","@","ATL",25,0,308,1,165,4
"11","IND","@","BUF",41,15,370,0,311,4
"11","BAL","@","CHI",16,13,299,1,353,1
"11","HOU","@","TEN",22,13,190,0,420,5
"11","SF","@","JAX",30,10,333,0,200,2
"11","PHI","","NO",40,29,380,1,323,3
"11","WAS","@","CAR",27,21,369,1,297,0
"11","CLE","","DET",13,10,349,2,245,2
"11","MIN","","GB",34,31,408,0,467,0
"11","MIA","@","NYJ",24,17,388,1,380,1
"11","CIN","@","LV",32,13,288,1,278,2
"11","KC","","DAL",19,9,370,2,276,3
"11","ARI","@","SEA",23,13,413,0,266,0
"11","LAC","","PIT",41,37,533,1,300,0
"11","TB","","NYG",30,10,402,1,215,3
"12","CHI","@","DET",16,14,378,1,239,1
"12","LV","@","DAL",36,33,509,0,437,0
"12","BUF","@","NO",31,6,361,2,190,1
"12","ATL","@","JAX",21,14,332,1,357,2
"12","CIN","","PIT",41,10,370,1,301,3
"12","NYJ","@","HOU",21,14,266,1,202,1
"12","NYG","","PHI",13,7,264,0,332,4
"12","MIA","","CAR",33,10,315,1,198,3
"12","TB","@","IND",38,31,359,2,392,5
"12","NE","","TEN",36,13,394,0,355,4
"12","DEN","","LAC",28,13,302,1,357,2
"12","SF","","MIN",34,26,423,1,323,2
"12","GB","","LA",36,28,399,1,353,3
"12","BAL","","CLE",16,10,303,4,262,2
"12","WAS","","SEA",17,15,371,1,267,1
"13","DAL","@","NO",27,17,377,1,405,4
"13","TB","@","ATL",30,17,425,1,380,1
"13","ARI","@","CHI",33,22,257,0,329,4
"13","LAC","@","CIN",41,22,363,3,356,4
"13","DET","","MIN",29,27,372,2,426,1
"13","PHI","@","NYJ",33,18,418,0,281,1
"13","IND","@","HOU",31,0,389,1,141,2
"13","MIA","","NYG",20,9,297,0,250,1
"13","SEA","","SF",30,23,327,3,365,3
"13","WAS","@","LV",17,15,298,1,310,0
"13","LA","","JAX",37,7,418,0,197,2
"13","PIT","","BAL",20,19,321,0,326,1
"13","KC","","DEN",22,9,267,1,404,3
"13","NE","@","BUF",14,10,241,1,230,1
"14","MIN","","PIT",36,28,458,2,375,1
"14","ATL","@","CAR",29,21,318,1,334,3
"14","SF","@","CIN",26,23,355,0,397,2
"14","CLE","","BAL",24,22,290,1,389,2
"14","DAL","@","WAS",27,20,323,2,224,4
"14","SEA","@","HOU",33,13,453,0,380,0
"14","TEN","","JAX",20,0,263,0,192,4
"14","KC","","LV",48,9,372,0,290,5
"14","NO","@","NYJ",30,9,344,0,256,0
"14","DEN","","DET",38,10,358,0,316,2
"14","LAC","","NYG",37,21,423,0,316,2
"14","TB","","BUF",33,27,488,0,466,1
"14","GB","","CHI",45,30,439,0,347,3
"14","LA","@","ARI",30,23,356,0,447,2
"15","KC","@","LAC",34,28,496,2,428,2
"15","IND","","NE",27,17,275,1,365,2
"15","BUF","","CAR",31,14,312,1,275,1
"15","DET","","ARI",30,12,338,1,398,1
"15","DAL","@","NYG",21,6,328,1,302,4
"15","GB","@","BAL",31,30,346,0,354,0
"15","HOU","@","JAX",30,16,281,1,296,0
"15","MIA","","NYJ",31,24,379,3,228,1
"15","PIT","","TEN",19,13,168,0,318,4
"15","SF","","ATL",31,13,397,1,275,1
"15","CIN","@","DEN",15,10,249,0,292,1
"15","NO","@","TB",9,0,212,0,302,2
"15","LV","@","CLE",16,14,328,2,236,0
"15","MIN","@","CHI",17,9,193,1,370,3
"15","PHI","","WAS",27,17,519,2,237,0
"15","LA","","SEA",20,10,332,1,214,1
"16","TEN","","SF",20,17,278,0,389,2
"16","GB","","CLE",24,22,311,0,408,4
"16","IND","@","ARI",22,16,346,0,378,0
"16","ATL","","DET",20,16,254,1,338,1
"16","BUF","@","NE",33,21,428,0,288,2
"16","TB","@","CAR",32,6,391,0,273,1
"16","CIN","","BAL",41,21,575,0,334,1
"16","HOU","","LAC",41,29,437,0,417,3
"16","NYJ","","JAX",26,21,373,0,384,1
"16","LA","@","MIN",30,23,356,3,361,1
"16","PHI","","NYG",34,10,324,0,192,2
"16","CHI","@","SEA",25,24,317,0,331,0
"16","LV","","DEN",17,13,342,3,158,0
"16","KC","","PIT",36,10,381,0,303,3
"16","DAL","","WAS",56,14,497,0,257,2
"16","MIA","@","NO",20,3,259,1,164,2
"17","BUF","","ATL",29,15,351,3,265,1
"17","NO","","CAR",18,10,280,0,178,2
"17","CHI","","NYG",29,3,249,2,155,4
"17","CIN","","KC",34,31,475,0,414,0
"17","LV","@","IND",23,20,326,2,262,0
"17","ARI","@","DAL",25,22,399,0,301,1
"17","NE","","JAX",50,10,471,0,253,3
"17","TEN","","MIA",34,3,308,0,256,2
"17","TB","@","NYJ",28,24,467,1,374,1
"17","PHI","@","WAS",20,16,330,0,312,1
"17","LAC","","DEN",34,13,341,0,319,1
"17","SF","","HOU",23,7,416,1,222,1
"17","SEA","","DET",51,29,497,0,357,3
"17","LA","@","BAL",20,19,373,3,327,2
"17","GB","","MIN",37,10,481,0,206,0
"17","PIT","","CLE",26,14,299,1,232,2
"18","KC","@","DEN",28,24,390,0,364,1
"18","DAL","@","PHI",51,26,475,0,315,1
"18","NO","@","ATL",30,20,369,0,257,3
"18","TB","","CAR",41,17,409,0,317,2
"18","MIN","","CHI",31,17,331,0,356,2
"18","CLE","","CIN",21,16,376,2,182,0
"18","JAX","","IND",26,11,318,0,233,2
"18","DET","","GB",37,30,404,0,378,3
"18","TEN","@","HOU",28,25,405,0,353,0
"18","MIA","","NE",33,24,298,0,379,3
"18","WAS","@","NYG",22,7,325,0,177,3
"18","PIT","@","BAL",16,13,314,1,381,3
"18","BUF","","NYJ",27,10,424,0,53,0
"18","SEA","@","ARI",38,30,431,2,305,1
"18","SF","@","LA",27,24,449,2,265,2
"18","LV","","LAC",35,32,346,0,440,2
"","","","",NA,NA,NA,NA,NA,NA
"WildCard","CIN","","LV",26,19,308,0,385,2
"WildCard","BUF","","NE",47,17,482,0,305,2
"WildCard","TB","","PHI",31,15,349,0,339,3
"WildCard","SF","@","DAL",23,17,341,1,307,1
"WildCard","KC","","PIT",42,21,478,2,257,1
"WildCard","LA","","ARI",34,11,375,0,183,2
"Division","CIN","@","TEN",19,16,345,1,353,3
"Division","SF","@","GB",13,10,212,1,263,1
"Division","LA","@","TB",30,27,428,4,359,2
"Division","KC","","BUF",42,36,552,0,422,0
"ConfChamp","CIN","@","KC",27,24,359,1,375,2
"ConfChamp","LA","","SF",20,17,396,1,282,1
"SuperBowl","LA","N","CIN",23,20,313,2,305,0
