"player_id","player_name","position","recent_team","season","week","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr","opponent_team"
"00-0026189","DeSean Jackson","WR","PHI",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,7,46,0,0,0,214,7,2,0.32546704923152,0,0.214953271028037,0.166666666666667,0.411538461538462,0.538076923076923,0,4.6,6.6,NA
"00-0026189","DeSean Jackson","WR","PHI",2020,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,6,9,64,0,0,0,68,9,4,3.69155202212278,0,0.941176470588235,0.219512195121951,0.265625,0.515205792682927,0,6.4,12.4,NA
"00-0026189","DeSean Jackson","WR","PHI",2020,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,4,11,0,0,0,64,6,1,-3.97964248619974,0,0.171875,0.0909090909090909,0.198142414860681,0.275063326766113,0,1.1,3.1,NA
"00-0026189","DeSean Jackson","WR","PHI",2020,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,12,0,0,0,1,0.816131649306044,0,3,5,34,0,0,0,45,3,2,0.858400608150984,0,0.755555555555556,0.121951219512195,0.121951219512195,0.268292682926829,0,4.6,7.6,NA
"00-0026189","DeSean Jackson","WR","PHI",2020,16,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,81,1,0,0,41,40,1,6.44122478552163,0,1.97560975609756,0.0294117647058824,0.126153846153846,0.132425339366516,0,14.1,15.1,NA
"00-0027150","Julian Edelman","WR","NE",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,23,0,0,0,1,2.23981569311582,0,5,7,57,0,0,0,61,22,4,2.59668218519073,0,0.934426229508197,0.368421052631579,0.603960396039604,0.975403856175091,0,8,13,NA
"00-0027150","Julian Edelman","WR","NE",2020,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,8,11,179,0,0,0,172,25,7,13.1573812776478,0,1.0406976744186,0.255813953488372,0.498550724637681,0.732706437478935,0,17.9,25.9,NA
"00-0027150","Julian Edelman","WR","NE",2020,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,-1,0,0,0,0,-0.752454775152728,0,2,6,23,0,0,0,72,4,2,-2.47981126331424,0,0.319444444444444,0.214285714285714,0.558139534883721,0.712126245847176,0,2.2,4.2,NA
"00-0027150","Julian Edelman","WR","NE",2020,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,6,35,0,0,0,37,6,3,-3.58007842960069,0,0.945945945945946,0.171428571428571,0.134057971014493,0.350983436853002,0,3.5,6.5,NA
"00-0027150","Julian Edelman","WR","NE",2020,6,2,2,38,0,0,0,0,0,0,-2,40,2,3.44430480233859,0,0,NA,0,0,0,0,0,0,NA,0,2,6,8,0,0,0,35,3,1,-2.47051082198468,0,0.228571428571429,0.222222222222222,0.238095238095238,0.5,0,2.32,4.32,NA
"00-0027150","Julian Edelman","WR","NE",2020,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,3,13,0,0,0,24,4,1,-7.56940149946604,0,0.541666666666667,0.136363636363636,0.127659574468085,0.293907156673114,0,1.3,2.3,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,5,15,1,0,0,24,6,2,0.0385076218068208,0,0.625,0.166666666666667,0.144578313253012,0.351204819277108,0,7.5,10.5,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,3,18,0,0,0,22,1,1,-0.996189966041129,0,0.818181818181818,0.0810810810810811,0.117021276595745,0.203536515238643,0,1.8,2.8,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,5,56,1,0,0,61,2,4,8.07577045966173,0,0.918032786885246,0.142857142857143,0.401315789473684,0.495206766917293,0,11.6,15.6,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,6,9,93,0,0,0,104,19,5,-1.25053705729079,0,0.894230769230769,0.36,0.446351931330472,0.852446351931331,0,9.3,15.3,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,12,14,122,0,1,0,114,18,5,7.18860972699472,0,1.07017543859649,0.297872340425532,0.348623853211009,0.690845207886004,0,12.2,24.2,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,5,38,1,0,0,34,4,3,5.02627788903192,0,1.11764705882353,0.147058823529412,0.181818181818182,0.347860962566845,0,9.8,13.8,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,5,0,0,0,1,4,1,1.59298063445021,0,5,0.0434782608695652,0.00970873786407767,0.0720135078092022,0,0.5,1.5,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,11,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,5,66,0,0,0,44,22,2,2.57773583673406,0,1.5,0.217391304347826,0.309859154929577,0.542988364972443,0,6.6,10.6,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,12,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,4,0,0,0,3,1,0,-0.0535043713171035,0,1.33333333333333,0.0714285714285714,0.029126213592233,0.12753120665742,0,0.4,1.4,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,13,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,6,39,0,0,0,37,4,1,2.12125536927488,0,1.05405405405405,0.162162162162162,0.123333333333333,0.329576576576577,0,3.9,8.9,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,5,48,1,0,0,68,5,1,2.39354572701268,0,0.705882352941177,0.135135135135135,0.284518828451883,0.401865882619021,0,10.8,13.8,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,15,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,5,76,0,0,0,66,29,2,5.0787334566121,0,1.15151515151515,0.151515151515152,0.266129032258065,0.413563049853372,0,7.6,11.6,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,16,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,12,0,0,0,1,1.14544692775235,0,4,5,83,0,0,0,60,23,3,-0.894490706501529,0,1.38333333333333,0.178571428571429,0.231660231660232,0.430019305019305,0,9.5,13.5,NA
"00-0027685","Emmanuel Sanders","WR","NO",2020,17,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,9,13,63,1,0,0,85,32,3,1.83880046819104,0,0.741176470588235,0.448275862068966,0.435897435897436,0.977541998231653,0,12.3,21.3,NA
"00-0027691","Andre Roberts","WR","BUF",2020,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,-3,0,0,0,0,-1.13362496579066,0,1,1,6,0,0,0,6,0,0,0.226557907182723,0,1,0.03125,0.0287081339712919,0.0669706937799043,0,0.3,1.3,NA
"00-0027691","Andre Roberts","WR","BUF",2020,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,2,16,0,0,0,35,0,1,-2.6333241747343,0,0.457142857142857,0.0444444444444444,0.0913838120104439,0.130635335073977,0,1.6,2.6,NA
"00-0027691","Andre Roberts","WR","BUF",2020,16,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,2,12,0,0,0,7,5,1,0.782784698239993,0,1.71428571428571,0.0526315789473684,0.0181347150259067,0.0916416689391873,0,1.2,3.2,NA
"00-0027793","Antonio Brown","WR","TB",2020,9,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,5,31,0,0,0,99,7,3,0.111082155781332,0,0.313131313131313,0.135135135135135,0.271232876712329,0.392565716401333,0,3.1,6.1,NA
"00-0027793","Antonio Brown","WR","TB",2020,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,-3,0,0,0,0,-0.60723652865272,0,7,8,69,0,0,0,75,38,3,3.92226457997458,0,0.92,0.210526315789474,0.238095238095238,0.482456140350877,0,6.6,13.6,NA
"00-0027793","Antonio Brown","WR","TB",2020,11,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,1,0,0,0,0,-0.210945100989193,0,8,13,57,0,0,0,125,20,4,-0.000167486432474107,0,0.456,0.276595744680851,0.297619047619048,0.62322695035461,0,5.8,13.8,NA
"00-0027793","Antonio Brown","WR","TB",2020,12,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,3,11,0,0,0,14,11,1,-0.822100825607777,0,0.785714285714286,0.0731707317073171,0.0357142857142857,0.134756097560976,0,1.1,3.1,NA
"00-0027793","Antonio Brown","WR","TB",2020,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,5,49,0,0,0,15,34,2,2.2608904791137,0,3.26666666666667,0.227272727272727,0.0657894736842105,0.386961722488038,0,4.9,9.9,NA
"00-0027793","Antonio Brown","WR","TB",2020,15,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,7,93,1,0,0,63,37,4,5.16097893437836,0,1.47619047619048,0.162790697674419,0.196875,0.381998546511628,0,15.3,20.3,NA
"00-0027793","Antonio Brown","WR","TB",2020,16,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,4,6,35,1,0,0,27,13,3,2.73159516835585,0,1.2962962962963,0.146341463414634,0.0578158458244111,0.259983287199039,0,9.5,13.5,NA
