"week","team","opponent_team"
12,"IND","TB"
12,"DEN","CLE"
12,"ARI","LA"
12,"PHI","BUF"
12,"LV","KC"
12,"LAC","BAL"
12,"MIN","CHI"
13,"SEA","DAL"
13,"ATL","NYJ"
13,"CAR","TB"
13,"IND","TEN"
13,"ARI","PIT"
13,"DET","NO"
13,"MIA","WAS"
13,"LAC","NE"
13,"DEN","HOU"
13,"CLE","LA"
13,"SF","PHI"
13,"KC","GB"
13,"CIN","JAX"
13,"DAL","SEA"
13,"NYJ","ATL"
13,"TB","CAR"
13,"TEN","IND"
13,"PIT","ARI"
13,"NO","DET"
13,"WAS","MIA"
13,"NE","LAC"
13,"HOU","DEN"
13,"LA","CLE"
13,"PHI","SF"
13,"GB","KC"
13,"JAX","CIN"
14,"NE","PIT"
14,"CAR","NO"
14,"IND","CIN"
14,"DET","CHI"
14,"HOU","NYJ"
14,"JAX","CLE"
14,"LA","BAL"
14,"TB","ATL"
14,"MIN","LV"
14,"SEA","SF"
14,"BUF","KC"
14,"DEN","LAC"
14,"PHI","DAL"
14,"GB","NYG"
14,"TEN","MIA"
14,"PIT","NE"
14,"NO","CAR"
14,"CIN","IND"
14,"CHI","DET"
14,"NYJ","HOU"
14,"CLE","JAX"
14,"BAL","LA"
14,"ATL","TB"
14,"LV","MIN"
14,"SF","SEA"
14,"KC","BUF"
14,"LAC","DEN"
14,"DAL","PHI"
14,"NYG","GB"
14,"MIA","TEN"
15,"LAC","LV"
15,"ATL","CAR"
15,"CHI","CLE"
15,"DEN","DET"
15,"HOU","TEN"
15,"MIN","CIN"
15,"NYG","NO"
15,"NYJ","MIA"
15,"PIT","IND"
15,"TB","GB"
15,"SF","ARI"
15,"WAS","LA"
15,"DAL","BUF"
15,"PHI","SEA"
15,"BAL","JAX"
15,"KC","NE"
15,"LV","LAC"
15,"CAR","ATL"
15,"CLE","CHI"
15,"DET","DEN"
15,"TEN","HOU"
15,"CIN","MIN"
15,"NO","NYG"
15,"MIA","NYJ"
15,"IND","PIT"
15,"GB","TB"
15,"ARI","SF"
15,"LA","WAS"
15,"BUF","DAL"
15,"SEA","PHI"
15,"JAX","BAL"
15,"NE","KC"
16,"NO","LA"
16,"CIN","PIT"
16,"BUF","LAC"
16,"CLE","HOU"
16,"IND","ATL"
16,"DET","MIN"
16,"GB","CAR"
16,"SEA","TEN"
16,"WAS","NYJ"
16,"JAX","TB"
16,"ARI","CHI"
16,"DAL","MIA"
16,"NE","DEN"
16,"LV","KC"
16,"NYG","PHI"
16,"BAL","SF"
16,"LA","NO"
16,"PIT","CIN"
16,"LAC","BUF"
16,"HOU","CLE"
16,"ATL","IND"
16,"MIN","DET"
16,"CAR","GB"
16,"TEN","SEA"
16,"NYJ","WAS"
16,"TB","JAX"
16,"CHI","ARI"
16,"MIA","DAL"
16,"DEN","NE"
16,"KC","LV"
16,"PHI","NYG"
16,"SF","BAL"
17,"NYJ","CLE"
17,"DET","DAL"
17,"ATL","CHI"
17,"CAR","JAX"
17,"ARI","PHI"
17,"MIA","BAL"
17,"NO","TB"
17,"NE","BUF"
17,"TEN","HOU"
17,"LV","IND"
17,"LA","NYG"
17,"SF","WAS"
17,"PIT","SEA"
17,"CIN","KC"
17,"LAC","DEN"
17,"GB","MIN"
17,"CLE","NYJ"
17,"DAL","DET"
17,"CHI","ATL"
17,"JAX","CAR"
17,"PHI","ARI"
17,"BAL","MIA"
17,"TB","NO"
17,"BUF","NE"
17,"HOU","TEN"
17,"IND","LV"
17,"NYG","LA"
17,"WAS","SF"
