"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
15,"NYG","@","NO",NA,NA,NA,NA,NA,NA
15,"NYJ","@","MIA",NA,NA,NA,NA,NA,NA
15,"PIT","@","IND",NA,NA,NA,NA,NA,NA
15,"TB","@","GB",NA,NA,NA,NA,NA,NA
15,"SF","@","ARI",NA,NA,NA,NA,NA,NA
15,"WAS","@","LA",NA,NA,NA,NA,NA,NA
15,"DAL","@","BUF",NA,NA,NA,NA,NA,NA
15,"PHI","@","SEA",NA,NA,NA,NA,NA,NA
15,"BAL","@","JAX",NA,NA,NA,NA,NA,NA
15,"KC","@","NE",NA,NA,NA,NA,NA,NA
16,"NO","@","LA",NA,NA,NA,NA,NA,NA
16,"CIN","@","PIT",NA,NA,NA,NA,NA,NA
16,"BUF","@","LAC",NA,NA,NA,NA,NA,NA
16,"CLE","@","HOU",NA,NA,NA,NA,NA,NA
16,"IND","@","ATL",NA,NA,NA,NA,NA,NA
16,"DET","@","MIN",NA,NA,NA,NA,NA,NA
16,"GB","@","CAR",NA,NA,NA,NA,NA,NA
16,"SEA","@","TEN",NA,NA,NA,NA,NA,NA
16,"WAS","@","NYJ",NA,NA,NA,NA,NA,NA
16,"JAX","@","TB",NA,NA,NA,NA,NA,NA
16,"ARI","@","CHI",NA,NA,NA,NA,NA,NA
16,"DAL","@","MIA",NA,NA,NA,NA,NA,NA
16,"NE","@","DEN",NA,NA,NA,NA,NA,NA
16,"LV","@","KC",NA,NA,NA,NA,NA,NA
16,"NYG","@","PHI",NA,NA,NA,NA,NA,NA
16,"BAL","@","SF",NA,NA,NA,NA,NA,NA
17,"NYJ","@","CLE",NA,NA,NA,NA,NA,NA
17,"DET","@","DAL",NA,NA,NA,NA,NA,NA
17,"ATL","@","CHI",NA,NA,NA,NA,NA,NA
17,"CAR","@","JAX",NA,NA,NA,NA,NA,NA
17,"ARI","@","PHI",NA,NA,NA,NA,NA,NA
17,"MIA","@","BAL",NA,NA,NA,NA,NA,NA
17,"NO","@","TB",NA,NA,NA,NA,NA,NA
17,"NE","@","BUF",NA,NA,NA,NA,NA,NA
17,"TEN","@","HOU",NA,NA,NA,NA,NA,NA
17,"LV","@","IND",NA,NA,NA,NA,NA,NA
17,"LA","@","NYG",NA,NA,NA,NA,NA,NA
17,"SF","@","WAS",NA,NA,NA,NA,NA,NA
17,"PIT","@","SEA",NA,NA,NA,NA,NA,NA
17,"CIN","@","KC",NA,NA,NA,NA,NA,NA
17,"LAC","@","DEN",NA,NA,NA,NA,NA,NA
17,"GB","@","MIN",NA,NA,NA,NA,NA,NA
18,"ATL","@","NO",NA,NA,NA,NA,NA,NA
18,"BUF","@","MIA",NA,NA,NA,NA,NA,NA
18,"CHI","@","GB",NA,NA,NA,NA,NA,NA
18,"CLE","@","CIN",NA,NA,NA,NA,NA,NA
18,"DAL","@","WAS",NA,NA,NA,NA,NA,NA
18,"DEN","@","LV",NA,NA,NA,NA,NA,NA
18,"HOU","@","IND",NA,NA,NA,NA,NA,NA
18,"JAX","@","TEN",NA,NA,NA,NA,NA,NA
18,"KC","@","LAC",NA,NA,NA,NA,NA,NA
18,"MIN","@","DET",NA,NA,NA,NA,NA,NA
18,"NYJ","@","NE",NA,NA,NA,NA,NA,NA
18,"PHI","@","NYG",NA,NA,NA,NA,NA,NA
18,"PIT","@","BAL",NA,NA,NA,NA,NA,NA
18,"LA","@","SF",NA,NA,NA,NA,NA,NA
18,"SEA","@","ARI",NA,NA,NA,NA,NA,NA
18,"TB","@","CAR",NA,NA,NA,NA,NA,NA
